time,population
Dec-2009,7101504
Mar-2010,7128356
Jun-2010,7144292
Sep-2010,7162726
Dec-2010,7179891
Mar-2011,7204737
Jun-2011,7218529
Sep-2011,7239528
Dec-2011,7258722
Mar-2012,7284982
Jun-2012,7304244
Sep-2012,7327614
Dec-2012,7353189
Mar-2013,7382957
Jun-2013,7404032
Sep-2013,7430904
Dec-2013,7454938
Mar-2014,7487834
Jun-2014,7508353
Sep-2014,7536277
Dec-2014,7562171
Mar-2015,7595731
Jun-2015,7616168
Sep-2015,7645324
Dec-2015,7671401
Mar-2016,7707412
Jun-2016,7732858
Sep-2016,7767915
Dec-2016,7795625
Mar-2017,7833463
Jun-2017,7855316
Sep-2017,7884752
Dec-2017,7900946
Mar-2018,7934688
Jun-2018,7954476
Sep-2018,7984525
Dec-2018,8003564
Mar-2019,8032991
Jun-2019,8046748
Sep-2019,8071350
Dec-2019,8088361
Mar-2020,8112001
Jun-2020,8110610
Sep-2020,8098905
Dec-2020,8094300
