Date,Day,T.Max,Smx,T.Min,Smn,Rain,Srn,Evap,Sev,Radn,Ssl,VP,Svp,RHmaxT,RHminT,Date2
20100101,1,28.4,0,23.5,0,0,0,6.4,0,20.3,42,23.1,0,59.7,79.8,1/01/2010
20100102,2,29.7,0,23.3,0,0.2,0,7.4,0,24.6,42,23.8,0,57.1,83.2,2/01/2010
20100103,3,30,0,24.2,0,0,0,4.2,0,13.1,42,27.6,0,65.1,91.4,3/01/2010
20100104,4,27.4,0,23.4,0,10.4,0,4,0,11.3,42,23.2,0,63.6,80.6,4/01/2010
20100105,5,27.5,0,21.2,0,0,0,4.8,0,15.5,42,22.4,0,61,89,5/01/2010
20100106,6,28.9,0,20.6,0,0.4,0,4.4,0,18.7,42,26.9,0,67.6,100,6/01/2010
20100107,7,27.4,0,22.8,0,0,0,5.4,0,13.9,42,25.5,0,69.9,91.9,7/01/2010
20100108,8,28,0,22.6,0,6.6,0,4.6,0,22.6,42,27.6,0,73,100,8/01/2010
20100109,9,28.8,0,21.7,0,2.4,0,7.2,0,30.5,42,24.9,0,62.9,96,9/01/2010
20100110,10,29.1,0,20.7,0,0,0,7,0,32.4,42,23.1,0,57.3,94.7,10/01/2010
20100111,11,29.1,0,20.7,0,0,0,8,0,31.7,42,21.4,0,53.1,87.7,11/01/2010
20100112,12,30,0,21.2,0,0,0,10.8,0,31.2,42,23,0,54.2,91.4,12/01/2010
20100113,13,28.9,0,20.5,0,0,0,5.8,0,31.8,42,21.2,0,53.2,88,13/01/2010
20100114,14,29.6,0,22.3,0,0,0,9.2,0,29.6,42,22.5,0,54.3,83.6,14/01/2010
20100115,15,29.5,0,22.6,0,0.6,0,8.2,0,25.9,42,26,0,63.1,94.9,15/01/2010
20100116,16,29.1,0,21,0,0,0,7.8,0,24.7,42,18.4,0,45.7,74,16/01/2010
20100117,17,30.2,0,20.4,0,0,0,7.6,0,29.7,42,21.8,0,50.8,91,17/01/2010
20100118,18,32.1,0,21.7,0,0.4,0,9,0,30.7,42,22.7,0,47.5,87.5,18/01/2010
20100119,19,31.4,0,17.8,0,0,0,8.6,0,32.7,42,16,0,34.8,78.5,19/01/2010
20100120,20,30.4,0,18.7,0,0,0,8.4,0,32.6,42,19.1,0,44,88.6,20/01/2010
20100121,21,30.5,0,20.2,0,0,0,7,0,28.5,42,21.7,0,49.7,91.7,21/01/2010
20100122,22,29.8,0,21.2,0,0,0,5.6,0,19.1,42,23.1,0,55.1,91.8,22/01/2010
20100123,23,30.8,0,20.9,0,0,0,9,0,31.4,42,23.5,0,52.9,95.1,23/01/2010
20100124,24,30.5,0,21.4,0,0,0,9,0,30.7,42,21.8,0,49.9,85.6,24/01/2010
20100125,25,31.3,0,20.8,0,0,0,9.2,0,30.1,42,25,0,54.7,100,25/01/2010
20100126,26,30.6,0,20.9,0,0,0,9.2,0,29.9,42,22.8,0,51.9,92.3,26/01/2010
20100127,27,31,0,21.5,0,0,0,6.8,0,29.7,42,22.5,0,50.1,87.8,27/01/2010
20100128,28,31.8,0,24,0,0,0,9.8,0,26.1,42,25,0,53.2,83.8,28/01/2010
20100129,29,30.6,0,21,0,5.8,0,4.8,0,20.3,42,25.6,0,58.3,100,29/01/2010
20100130,30,30,0,21.8,0,4.2,0,8.6,0,21.8,42,25.5,0,60.1,97.7,30/01/2010
20100131,31,27.2,0,22.3,0,22,0,2.8,0,12.7,42,26.6,0,73.8,98.8,31/01/2010
20100201,32,27.7,0,22.3,0,17.8,0,6.4,0,8.6,42,23.4,0,63,86.9,1/02/2010
20100202,33,29.2,0,22.8,0,2,0,7.4,0,20.7,42,19.4,0,47.9,69.9,2/02/2010
20100203,34,28.9,0,21.5,0,2.4,0,7.4,0,27.3,42,22,0,55.2,85.8,3/02/2010
20100204,35,29.4,0,20.9,0,0,0,7.4,0,24.1,42,23.1,0,56.4,93.5,4/02/2010
20100205,36,30.1,0,22.4,0,0,0,7.2,0,27,42,24.3,0,56.9,89.7,5/02/2010
20100206,37,30.1,0,24.3,0,0,0,8.2,0,25.3,42,25.2,0,59.1,83,6/02/2010
20100207,38,26.3,0,22.4,0,35.4,0,2,0,6.3,42,26,0,76,96,7/02/2010
20100208,39,28.9,0,22.3,0,4.6,0,6.8,0,22.4,42,27.1,0,68.1,100,8/02/2010
20100209,40,29.1,0,21.7,0,0.6,0,5.8,0,22.7,42,25,0,62.1,96.3,9/02/2010
20100210,41,28.8,0,21.5,0,0.6,0,6.6,0,26.8,42,24,0,60.6,93.6,10/02/2010
20100211,42,29.1,0,20.7,0,0.2,0,7,0,28.7,42,24,0,59.6,98.3,11/02/2010
20100212,43,29.6,0,20,0,0,0,6.8,0,29.2,42,22.8,0,55,97.6,12/02/2010
20100213,44,29.4,0,20.6,0,0,0,7.6,0,28.1,42,22.8,0,55.6,94,13/02/2010
20100214,45,30,0,23,0,0,0,8,0,27.6,42,23.5,0,55.4,83.7,14/02/2010
20100215,46,31.2,0,24,0,0,0,7.4,0,25.8,42,27.9,0,61.4,93.5,15/02/2010
20100216,47,30.5,0,24.2,0,2,0,4.2,0,10.2,42,30.4,0,69.6,100,16/02/2010
20100217,48,27.8,0,21.1,0,29.4,0,2.2,0,10.9,42,25.5,0,68.3,100,17/02/2010
20100218,49,29.2,0,22.9,0,0,0,5.8,0,18.6,42,22,0,54.3,78.8,18/02/2010
20100219,50,28.6,0,19.8,0,0,0,6.2,0,22.7,42,21,0,53.7,91,19/02/2010
20100220,51,29,0,20.6,0,0.4,0,5.6,0,20.8,42,23.7,0,59.2,97.7,20/02/2010
20100221,52,29.5,0,21.2,0,0.8,0,7,0,25.8,42,29.3,0,71.1,100,21/02/2010
20100222,53,29.5,0,19.4,0,0,0,6,0,24,42,23.5,0,57,100,22/02/2010
20100223,54,31.1,0,21.9,0,0,0,6.4,0,27.4,42,26,0,57.5,99,23/02/2010
20100224,55,29.7,0,23.3,0,0,0,6.6,0,19.9,42,25.3,0,60.7,88.5,24/02/2010
20100225,56,29.1,0,23,0,0,0,5,0,14.4,42,23.5,0,58.3,83.7,25/02/2010
20100226,57,28,0,19.8,0,2.8,0,6.6,0,21.5,42,25.2,0,66.7,100,26/02/2010
20100227,58,26.8,0,19.9,0,1.2,0,2.6,0,13.6,42,24.6,0,69.8,100,27/02/2010
20100228,59,28.6,0,22.2,0,18.6,0,6.6,0,21.2,42,27.1,0,69.2,100,28/02/2010
20100301,60,25.9,0,21.9,0,22.2,0,3.2,0,5.4,42,26,0,77.8,99,1/03/2010
20100302,61,23.8,0,21,0,57.4,0,3.2,0,2.6,42,23.8,0,80.8,95.7,2/03/2010
20100303,62,26.6,0,21.2,0,31.6,0,4.4,0,11.7,42,23.1,0,66.3,91.8,3/03/2010
20100304,63,26.6,0,21.5,0,9.4,0,5,0,13,42,21.3,0,61.2,83.1,4/03/2010
20100305,64,27.8,0,22.8,0,1,0,4.6,0,13.2,42,25.2,0,67.5,90.8,5/03/2010
20100306,65,27.1,0,23.4,0,2,0,2,0,8.7,42,27.3,0,76.1,94.9,6/03/2010
20100307,66,27.3,0,22.6,0,5.2,0,2.8,0,14.3,42,24.6,0,67.8,89.7,7/03/2010
20100308,67,26.8,0,22.7,0,0.4,0,2.2,0,9.2,42,26.1,0,74.1,94.6,8/03/2010
20100309,68,30.1,0,20.2,0,1.4,0,5.8,0,24.5,42,26.6,0,62.3,100,9/03/2010
20100310,69,30.1,0,22.3,0,0,0,5.6,0,22.7,42,27.3,0,64,100,10/03/2010
20100311,70,29.4,0,21.5,0,0,0,5.6,0,18.3,42,21.8,0,53.2,85,11/03/2010
20100312,71,27,0,19.7,0,11.4,0,6.4,0,18.6,42,20,0,56.1,87.2,12/03/2010
20100313,72,26.9,0,18,0,2.4,0,5.6,0,19.2,42,17.6,0,49.7,85.3,13/03/2010
20100314,73,27,0,17.8,0,3.6,0,6,0,22.4,42,20.6,0,57.8,100,14/03/2010
20100315,74,27.5,0,17.6,0,0.4,0,6,0,19.5,42,20.1,0,54.8,99.9,15/03/2010
20100316,75,27.3,0,18.5,0,0.6,0,4,0,20.6,42,19.9,0,54.9,93.5,16/03/2010
20100317,76,27.2,0,17.5,0,0,0,6.6,0,23.6,42,22.1,0,61.3,100,17/03/2010
20100318,77,27.4,0,17.8,0,0.4,0,6.2,0,21.6,42,17.2,0,47.1,84.4,18/03/2010
20100319,78,27.9,0,18.4,0,0,0,8,0,22.4,42,17.8,0,47.4,84.2,19/03/2010
20100320,79,27.7,0,19.3,0,0,0,4.2,0,16.7,42,18.9,0,50.9,84.5,20/03/2010
20100321,80,27.5,0,20.7,0,0.2,0,2.8,0,15.2,42,21.7,0,59.1,88.9,21/03/2010
20100322,81,27.4,0,20,0,0,0,2.6,0,12.9,42,25.6,0,70.2,100,22/03/2010
20100323,82,28.6,0,19.9,0,0,0,4.2,0,16.4,42,23.8,0,60.8,100,23/03/2010
20100324,83,27.6,0,19.4,0,3,0,5.6,0,20.2,42,23.4,0,63.4,100,24/03/2010
20100325,84,27.7,0,17.4,0,0,0,6.4,0,22,42,20.8,0,56,100,25/03/2010
20100326,85,27.4,0,19.9,0,7.4,0,3.8,0,19.3,42,23.8,0,65.2,100,26/03/2010
