C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/04/11,14:00:03,0000000384663436,DEMAND,0000000384663436
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",NSW1,2731.288,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",QLD1,3265.648,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",QLDC,271.408,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",QLDN,531.348,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",QLDS,2462.892,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",SA1,174.025,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",TAS1,111.74,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",TASN,70.228,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",TASS,41.638,1,MEASUREMENT,"2023/04/11 13:49:29"
D,ROOFTOP,ACTUAL,2,"2023/04/11 13:30:00",VIC1,1762.459,1,MEASUREMENT,"2023/04/11 13:49:29"
C,"END OF REPORT",13
