C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/03/15,14:00:02,0000000382807669,DEMAND,0000000382807668
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",NSW1,2963.341,0.6,SATELLITE,"2023/03/15 13:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",QLD1,2521.951,0.6,SATELLITE,"2023/03/15 13:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",QLDC,295.67,0.6,SATELLITE,"2023/03/15 13:50:21"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",QLDN,531.887,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",QLDS,1694.394,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",SA1,1453.698,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",TAS1,127.058,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",TASN,81.989,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",TASS,45.069,0.6,SATELLITE,"2023/03/15 13:50:22"
D,ROOFTOP,ACTUAL,2,"2023/03/15 13:30:00",VIC1,2225.05,0.6,SATELLITE,"2023/03/15 13:50:22"
C,"END OF REPORT",13
