,Calendar_Date,DayOfWeek,Week,Quarter,Month,Year,Year_half,Summer,Autumn,Winter,Spring,is_weekday,Description,is_holiday
0,2014-01-01,3,1,1,1,2014,1,1,0,0,0,1,New Year's Day,1
1,2014-01-02,4,1,1,1,2014,1,1,0,0,0,1,,0
2,2014-01-03,5,1,1,1,2014,1,1,0,0,0,1,,0
3,2014-01-04,6,1,1,1,2014,1,1,0,0,0,0,,0
4,2014-01-05,7,1,1,1,2014,1,1,0,0,0,0,,0
5,2014-01-06,1,2,1,1,2014,1,1,0,0,0,1,,0
6,2014-01-07,2,2,1,1,2014,1,1,0,0,0,1,,0
7,2014-01-08,3,2,1,1,2014,1,1,0,0,0,1,,0
8,2014-01-09,4,2,1,1,2014,1,1,0,0,0,1,,0
9,2014-01-10,5,2,1,1,2014,1,1,0,0,0,1,,0
10,2014-01-11,6,2,1,1,2014,1,1,0,0,0,0,,0
11,2014-01-12,7,2,1,1,2014,1,1,0,0,0,0,,0
12,2014-01-13,1,3,1,1,2014,1,1,0,0,0,1,,0
13,2014-01-14,2,3,1,1,2014,1,1,0,0,0,1,,0
14,2014-01-15,3,3,1,1,2014,1,1,0,0,0,1,,0
15,2014-01-16,4,3,1,1,2014,1,1,0,0,0,1,,0
16,2014-01-17,5,3,1,1,2014,1,1,0,0,0,1,,0
17,2014-01-18,6,3,1,1,2014,1,1,0,0,0,0,,0
18,2014-01-19,7,3,1,1,2014,1,1,0,0,0,0,,0
19,2014-01-20,1,4,1,1,2014,1,1,0,0,0,1,,0
20,2014-01-21,2,4,1,1,2014,1,1,0,0,0,1,,0
21,2014-01-22,3,4,1,1,2014,1,1,0,0,0,1,,0
22,2014-01-23,4,4,1,1,2014,1,1,0,0,0,1,,0
23,2014-01-24,5,4,1,1,2014,1,1,0,0,0,1,,0
24,2014-01-25,6,4,1,1,2014,1,1,0,0,0,0,,0
25,2014-01-26,7,4,1,1,2014,1,1,0,0,0,0,,0
26,2014-01-27,1,5,1,1,2014,1,1,0,0,0,1,Australia Day,1
27,2014-01-28,2,5,1,1,2014,1,1,0,0,0,1,,0
28,2014-01-29,3,5,1,1,2014,1,1,0,0,0,1,,0
29,2014-01-30,4,5,1,1,2014,1,1,0,0,0,1,,0
30,2014-01-31,5,5,1,1,2014,1,1,0,0,0,1,,0
31,2014-02-01,6,5,1,2,2014,1,1,0,0,0,0,,0
32,2014-02-02,7,5,1,2,2014,1,1,0,0,0,0,,0
33,2014-02-03,1,6,1,2,2014,1,1,0,0,0,1,,0
34,2014-02-04,2,6,1,2,2014,1,1,0,0,0,1,,0
35,2014-02-05,3,6,1,2,2014,1,1,0,0,0,1,,0
36,2014-02-06,4,6,1,2,2014,1,1,0,0,0,1,,0
37,2014-02-07,5,6,1,2,2014,1,1,0,0,0,1,,0
38,2014-02-08,6,6,1,2,2014,1,1,0,0,0,0,,0
39,2014-02-09,7,6,1,2,2014,1,1,0,0,0,0,,0
40,2014-02-10,1,7,1,2,2014,1,1,0,0,0,1,,0
41,2014-02-11,2,7,1,2,2014,1,1,0,0,0,1,,0
42,2014-02-12,3,7,1,2,2014,1,1,0,0,0,1,,0
43,2014-02-13,4,7,1,2,2014,1,1,0,0,0,1,,0
44,2014-02-14,5,7,1,2,2014,1,1,0,0,0,1,,0
45,2014-02-15,6,7,1,2,2014,1,1,0,0,0,0,,0
46,2014-02-16,7,7,1,2,2014,1,1,0,0,0,0,,0
47,2014-02-17,1,8,1,2,2014,1,1,0,0,0,1,,0
48,2014-02-18,2,8,1,2,2014,1,1,0,0,0,1,,0
49,2014-02-19,3,8,1,2,2014,1,1,0,0,0,1,,0
50,2014-02-20,4,8,1,2,2014,1,1,0,0,0,1,,0
51,2014-02-21,5,8,1,2,2014,1,1,0,0,0,1,,0
52,2014-02-22,6,8,1,2,2014,1,1,0,0,0,0,,0
53,2014-02-23,7,8,1,2,2014,1,1,0,0,0,0,,0
54,2014-02-24,1,9,1,2,2014,1,1,0,0,0,1,,0
55,2014-02-25,2,9,1,2,2014,1,1,0,0,0,1,,0
56,2014-02-26,3,9,1,2,2014,1,1,0,0,0,1,,0
57,2014-02-27,4,9,1,2,2014,1,1,0,0,0,1,,0
58,2014-02-28,5,9,1,2,2014,1,1,0,0,0,1,,0
59,2014-03-01,6,9,1,3,2014,1,0,1,0,0,0,,0
60,2014-03-02,7,9,1,3,2014,1,0,1,0,0,0,,0
61,2014-03-03,1,10,1,3,2014,1,0,1,0,0,1,,0
62,2014-03-04,2,10,1,3,2014,1,0,1,0,0,1,,0
63,2014-03-05,3,10,1,3,2014,1,0,1,0,0,1,,0
64,2014-03-06,4,10,1,3,2014,1,0,1,0,0,1,,0
65,2014-03-07,5,10,1,3,2014,1,0,1,0,0,1,,0
66,2014-03-08,6,10,1,3,2014,1,0,1,0,0,0,,0
67,2014-03-09,7,10,1,3,2014,1,0,1,0,0,0,,0
68,2014-03-10,1,11,1,3,2014,1,0,1,0,0,1,,0
69,2014-03-11,2,11,1,3,2014,1,0,1,0,0,1,,0
70,2014-03-12,3,11,1,3,2014,1,0,1,0,0,1,,0
71,2014-03-13,4,11,1,3,2014,1,0,1,0,0,1,,0
72,2014-03-14,5,11,1,3,2014,1,0,1,0,0,1,,0
73,2014-03-15,6,11,1,3,2014,1,0,1,0,0,0,,0
74,2014-03-16,7,11,1,3,2014,1,0,1,0,0,0,,0
75,2014-03-17,1,12,1,3,2014,1,0,1,0,0,1,,0
76,2014-03-18,2,12,1,3,2014,1,0,1,0,0,1,,0
77,2014-03-19,3,12,1,3,2014,1,0,1,0,0,1,,0
78,2014-03-20,4,12,1,3,2014,1,0,1,0,0,1,,0
79,2014-03-21,5,12,1,3,2014,1,0,1,0,0,1,,0
80,2014-03-22,6,12,1,3,2014,1,0,1,0,0,0,,0
81,2014-03-23,7,12,1,3,2014,1,0,1,0,0,0,,0
82,2014-03-24,1,13,1,3,2014,1,0,1,0,0,1,,0
83,2014-03-25,2,13,1,3,2014,1,0,1,0,0,1,,0
84,2014-03-26,3,13,1,3,2014,1,0,1,0,0,1,,0
85,2014-03-27,4,13,1,3,2014,1,0,1,0,0,1,,0
86,2014-03-28,5,13,1,3,2014,1,0,1,0,0,1,,0
87,2014-03-29,6,13,1,3,2014,1,0,1,0,0,0,,0
88,2014-03-30,7,13,1,3,2014,1,0,1,0,0,0,,0
89,2014-03-31,1,14,1,3,2014,1,0,1,0,0,1,,0
90,2014-04-01,2,14,2,4,2014,1,0,1,0,0,1,,0
91,2014-04-02,3,14,2,4,2014,1,0,1,0,0,1,,0
92,2014-04-03,4,14,2,4,2014,1,0,1,0,0,1,,0
93,2014-04-04,5,14,2,4,2014,1,0,1,0,0,1,,0
94,2014-04-05,6,14,2,4,2014,1,0,1,0,0,0,,0
95,2014-04-06,7,14,2,4,2014,1,0,1,0,0,0,,0
96,2014-04-07,1,15,2,4,2014,1,0,1,0,0,1,,0
97,2014-04-08,2,15,2,4,2014,1,0,1,0,0,1,,0
98,2014-04-09,3,15,2,4,2014,1,0,1,0,0,1,,0
99,2014-04-10,4,15,2,4,2014,1,0,1,0,0,1,,0
100,2014-04-11,5,15,2,4,2014,1,0,1,0,0,1,,0
101,2014-04-12,6,15,2,4,2014,1,0,1,0,0,0,,0
102,2014-04-13,7,15,2,4,2014,1,0,1,0,0,0,,0
