Date,State,Weekday,Day_In_Lieu,Part_Day_From
2009-01-01,ACT,Thursday,0,0
2009-01-01,NSW,Thursday,0,0
2009-01-01,NT,Thursday,0,0
2009-01-01,QLD,Thursday,0,0
2009-01-01,SA,Thursday,0,0
2009-01-01,TAS,Thursday,0,0
2009-01-01,VIC,Thursday,0,0
2009-01-01,WA,Thursday,0,0
2009-01-26,ACT,Monday,0,0
2009-01-26,NSW,Monday,0,0
2009-01-26,NT,Monday,0,0
2009-01-26,QLD,Monday,0,0
2009-01-26,SA,Monday,0,0
2009-01-26,TAS,Monday,0,0
2009-01-26,VIC,Monday,0,0
2009-01-26,WA,Monday,0,0
2009-02-09,TAS,Monday,0,0
2009-03-02,WA,Monday,0,0
2009-03-09,ACT,Monday,0,0
2009-03-09,SA,Monday,0,0
2009-03-09,TAS,Monday,0,0
2009-03-09,VIC,Monday,0,0
2009-04-10,ACT,Friday,0,0
2009-04-10,NSW,Friday,0,0
2009-04-10,NT,Friday,0,0
2009-04-10,QLD,Friday,0,0
2009-04-10,SA,Friday,0,0
2009-04-10,TAS,Friday,0,0
2009-04-10,VIC,Friday,0,0
2009-04-10,WA,Friday,0,0
2009-04-11,ACT,Saturday,0,0
2009-04-11,NSW,Saturday,0,0
2009-04-11,NT,Saturday,0,0
2009-04-11,QLD,Saturday,0,0
2009-04-11,SA,Saturday,0,0
2009-04-11,TAS,Saturday,0,0
2009-04-11,VIC,Saturday,0,0
2009-04-11,WA,Saturday,0,0
2009-04-12,ACT,Sunday,0,0
2009-04-12,NSW,Sunday,0,0
2009-04-12,NT,Sunday,0,0
2009-04-12,QLD,Sunday,0,0
2009-04-12,SA,Sunday,0,0
2009-04-12,TAS,Sunday,0,0
2009-04-12,VIC,Sunday,0,0
2009-04-12,WA,Sunday,0,0
2009-04-13,ACT,Monday,0,0
2009-04-13,NSW,Monday,0,0
2009-04-13,NT,Monday,0,0
2009-04-13,QLD,Monday,0,0
2009-04-13,SA,Monday,0,0
2009-04-13,TAS,Monday,0,0
2009-04-13,VIC,Monday,0,0
2009-04-13,WA,Monday,0,0
2009-04-14,TAS,Tuesday,0,0
2009-04-25,ACT,Saturday,0,0
2009-04-25,NSW,Saturday,0,0
2009-04-25,NT,Saturday,0,0
2009-04-25,QLD,Saturday,0,0
2009-04-25,TAS,Saturday,0,0
2009-04-25,VIC,Saturday,0,0
2009-04-25,WA,Saturday,0,0
2009-04-27,WA,Monday,1,0
2009-05-04,NT,Monday,0,0
2009-05-04,QLD,Monday,0,0
2009-06-01,WA,Monday,0,0
2009-06-08,ACT,Monday,0,0
2009-06-08,NSW,Monday,0,0
2009-06-08,NT,Monday,0,0
2009-06-08,QLD,Monday,0,0
2009-06-08,SA,Monday,0,0
2009-06-08,TAS,Monday,0,0
2009-06-08,VIC,Monday,0,0
2009-08-03,NSW,Monday,0,0
2009-08-03,NT,Monday,0,0
2009-08-12,QLD,Wednesday,0,0
2009-09-28,WA,Monday,0,0
2009-10-05,ACT,Monday,0,0
2009-10-05,NSW,Monday,0,0
